,,,,,,,,,,,,76,Scott,1,,,75,411D @ 159 lb/sy,,,411D,,,
,,,,,,,,,,,,77,Sequatchie,2,,,76,Micro-surfacing,,Micro-surfacing @ 22 lbs/sy,,,,
,,,,,,,,,,,,78,Sevier,1,,,77,,,,,,,
,,,,,,,,,,,,79,Shelby,4,,,78,,,,,,,
,,,,,,,,,,,,80,Smith,3,,,79,,,,,,,
,,,,,,,,,,,,81,Stewart,3,,,80,,,,,,,
,,,,,,,,,,,,82,Sullivan,1,,,81,,,,,,,
,,,,,,,,,,,,83,Sumner,3,,,,,,,,,,
,,,,,,,,,,,,84,Tipton,4,,,,,,,,,,
,,,,,,,,,,,,85,Trousdale,3,,,,,,,,,,
,,,,,,,,,,,,86,Unicoi,1,,,,,,,,,,
,,,,,,,,,,,,87,Union,1,,,,,,,,,,
,,,,,,,,,,,,88,Van Buren,2,,,,,,,,,,
,,,,,,,,,,,,89,Warren,2,,,,,,,,,,
,,,,,,,,,,,,90,Washington,1,,,,,,,,,,
,,,,,,,,,,,,91,Wayne,3,,,,,,,,,,
,,,,,,,,,,,,92,Weakley,4,,,,,,,,,,
,,,,,,,,,,,,93,White,2,,,,,,,,,,
,,,,,,,,,,,,94,Williamson,3,,,,,,,,,,
,,,,,,,,,,,,95,Wilson,3,,,,,,,,,,
,,,,,,,,,,,,96,None,0,,,,,,,,,,
